nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
3223,0.8848073002499135,1.0,[0.9672328  0.99999101],1.0,0.9737289470839657,1.0,[0.98862053 1.        ],1.0,1.0
3249,0.8726485300781499,1.0,[0.75079278 0.99999446],2.0,0.9819786506481292,1.0,[0.90588053 1.        ],1.0,2.0
3257,0.9905645456092466,1.0,[0.99630278 0.99999937],1.0,0.99825675960024,1.0,[0.99868399 1.        ],1.0,1.0
3267,0.9086791457170387,1.0,[0.94538029 0.99998989],1.0,0.9787335810865584,1.0,[0.98456141 1.        ],1.0,1.0
3269,0.6597357382667461,2.0,[0.79119184 0.99997462],2.0,0.8655166658376324,1.0,[0.92316613 1.        ],1.0,2.0
3277,0.906652138111207,1.0,[0.82334068 0.99993254],2.0,0.9769585866907661,1.0,[0.93647865 1.        ],1.0,2.0
3280,0.8732700163391612,1.0,[0.78791939 0.99999378],2.0,0.9678164659365457,1.0,[0.89564899 1.        ],1.0,2.0
3292,0.6656669656396259,2.0,[0.92206205 0.99997827],1.0,0.8491948938556317,2.0,[0.97011755 1.        ],1.0,2.0
3303,0.9584084007774631,1.0,[0.96372855 0.99999505],1.0,0.9913204131342342,1.0,[0.98745704 1.        ],1.0,1.0
3308,0.9405094122578355,1.0,[0.76791554 0.9999513 ],2.0,0.9874815386775966,1.0,[0.90559642 1.        ],1.0,2.0
3320,0.9990082034274373,1.0,[0.97867863 0.99999699],1.0,0.9998894479267715,1.0,[0.99319056 1.        ],1.0,1.0
3327,0.8971241648933719,1.0,[0.56888486 0.99994788],3.0,0.9741231329605992,1.0,[0.78941251 1.        ],2.0,2.0
3333,0.979853984784059,1.0,[0.92467559 0.99998412],1.0,0.9952480449748804,1.0,[0.9707992 1.       ],1.0,1.0
3356,0.9702801193043952,1.0,[0.99730399 0.99999759],1.0,0.9935032401707126,1.0,[0.99956003 1.        ],1.0,1.0
3402,0.8700355532530358,1.0,[0.69724465 0.99999503],2.0,0.9168699407045724,1.0,[0.8586867 1.       ],1.0,2.0
3491,0.9053381116792556,1.0,[0.98932863 0.99999554],1.0,0.9761588816732157,1.0,[0.99654918 1.        ],1.0,1.0
