peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
187.16.222.107|147.28.42.0/24|('263152', '264556', '28263', '10429', '12956', '2914', '63528', '58362')|False|0.0617816091954023|(('263152', '264556'), ('264556', '28263'), ('28263', '10429'), ('10429', '12956'), ('12956', '2914'), ('2914', '63528'), ('63528', '58362'))|('263152c2p', '264556c2p', '28263c2p', '10429c2p', '12956p2p', '2914p2c', '63528p2c')
187.16.222.107|147.28.42.0/24|('263152', '264556', '28263', '174', '2914', '63528', '58362')|False|0.3735632183908046|(('263152', '264556'), ('264556', '28263'), ('28263', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('263152c2p', '264556c2p', '28263c2p', '174p2p', '2914p2c', '63528p2c')
187.16.222.107|147.28.42.0/24|('263152', '28329', '3356', '2914', '63528', '58362')|False|0.011494252873563218|(('263152', '28329'), ('28329', '3356'), ('3356', '2914'), ('2914', '63528'), ('63528', '58362'))|('263152c2p', '28329c2p', '3356p2p', '2914p2c', '63528p2c')
187.16.222.107|147.28.46.0/24|('263152', '264556', '28263', '6939', '37100', '58363')|False|0.09770114942528736|(('263152', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '37100'), ('37100', '58363'))|('263152c2p', '264556c2p', '28263c2p', '6939p2p', '37100p2c')
187.16.222.107|147.28.46.0/24|('263152', '28329', '13786', '37100', '58363')|False|0.1307471264367816|(('263152', '28329'), ('28329', '13786'), ('13786', '37100'), ('37100', '58363'))|('263152c2p', '28329c2p', '13786p2p', '37100p2c')
187.16.222.107|147.28.46.0/24|('263152', '28329', '3356', '37100', '58363')|False|0.27011494252873564|(('263152', '28329'), ('28329', '3356'), ('3356', '37100'), ('37100', '58363'))|('263152c2p', '28329c2p', '3356p2c', '37100p2c')
187.16.222.107|147.28.50.0/24|('263152', '22548', '58364')|False|0.0|(('263152', '22548'), ('22548', '58364'))|('263152p2p', '22548p2c')
187.16.222.107|147.28.50.0/24|('263152', '28329', '22548', '58364')|False|0.22413793103448276|(('263152', '28329'), ('28329', '22548'), ('22548', '58364'))|('263152c2p', '28329p2p', '22548p2c')
187.16.222.107|147.28.54.0/24|('263152', '264556', '28263', '6939', '5539', '58365')|False|0.1235632183908046|(('263152', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '5539'), ('5539', '58365'))|('263152c2p', '264556c2p', '28263c2p', '6939p2p', '5539p2c')
187.16.222.107|147.28.54.0/24|('263152', '28329', '13786', '5539', '58365')|False|0.01293103448275862|(('263152', '28329'), ('28329', '13786'), ('13786', '5539'), ('5539', '58365'))|('263152c2p', '28329c2p', '13786None', '5539p2c')
